#{"t_start": 1602577815.134877, "env_id": "DeeplengDocking-v1"}
r,l,t
-20605.76,6,4.970941
-20392.18,4,7.647111
-20135.35,2,9.268933
-20213.18,3,11.4174
-20124.56,2,13.036157
-20534.63,6,16.764286
-20124.81,2,18.384887
-20000,1,19.477341
-20000,1,20.571476
-20553.48,6,24.303481
-21778.22,19,34.870441
-20382.35,4,37.547704
-20377.13,4,40.226234
-20441.32,5,43.428462
-20257.17,3,45.575785
-21594.62,16,54.574133
3898.19,16,63.56645
-20619.06,6,67.292966
-20519.82,6,71.024843
-20376.46,4,73.701717
-20000,1,74.799412
-21204.2,13,82.213709
-20839.65,8,86.994882
-20580.93,6,90.720917
-20273.12,3,92.868773
-22021.2,40,114.487776
-20487.17,5,117.690988
-20638.89,7,121.945452
-20131.94,2,124.325054
-20128.92,2,125.948255
-20129.76,2,127.570165
-20132.12,2,129.192098
-20236.12,3,131.341708
-20135.21,2,132.964031
-20114.92,2,134.58929
-20129.13,2,136.212542
-20134.61,2,137.839325
-20126.18,2,139.46277
-20634.89,6,143.194117
